129
material   attribute_type
비즈         1
단추         1
니트꽈배기         1
체인         1
컷오프         1
더블브레스티드         1
드롭숄더         1
자수         1
프릴         1
프린지         1
플레어         1
퀼팅         1
리본         1
롤업         1
러플         1
셔링         1
슬릿         1
스팽글         1
스티치         1
스터드         1
퍼트리밍         1
글리터         1
후드         1
레이스업         1
패딩         1
패치워크         1
페플럼         1
플리츠         1
포켓         1
폼폼         1
퍼프         1
태슬         1
집업         1
띠         1
디스트로이드         1
드롭웨이스트         1
버클         1
컷아웃         1
X스트랩         1
비대칭         1
셔링         1
체크         2
스트라이프         2
지그재그         2
호피         2
지브라         2
도트         2
카무플라쥬         2
페이즐리         2
아가일         2
플로럴         2
레터링         2
해골         2
타이다이         2
그라데이션         2
무지         2
그래픽         2
하운즈 투스         2
깅엄         2
퍼         3
무스탕         3
스웨이드         3
앙고라         3
코듀로이         3
시퀸/글리터         3
우븐         3
데님         3
저지         3
트위드         3
벨벳         3
비닐/PVC         3
울/캐시미어         3
합성섬유         3
니트         3
레이스         3
린넨         3
메시         3
플리스         3
네오프렌         3
실크         3
스판덱스         3
자카드         3
가죽         3
면         3
시폰         3
민소매         4
반팔         4
캡         4
7부소매         4
긴팔         4
라운드넥         5
유넥         5
브이넥         5
홀터넥         5
오프숄더         5
원 숄더         5
스퀘어넥         5
노카라         5
후드         5
터틀넥         5
보트넥         5
스위트하트         5
셔츠칼라         6
보우칼라         6
세일러칼라         6
숄칼라         6
폴로칼라         6
피터팬칼라         6
너치드칼라         6
차이나칼라         6
테일러드칼라         6
밴드칼라         6
노멀         7
루즈         7
오버사이즈         7
스키니         7
와이드         7
타이트         7
페플럼         8
비대칭         8
알수없음         8
펜슬         8
A라인         8
H라인         8
머메이드         8
벨보텀/플레어         8
부츠컷         8
테이퍼드         8
스트레이트         8
