831
path	clothes	name	category	color	detail	print	material	length	neckline	collar	fit	shape
K-Fashion 이미지/원천데이터/레트로/(121)IMG_1.jpg	상의	(121)IMG_1.jpg	블라우스	네이비		['플로럴']	['우븐']	긴팔			루즈	
K-Fashion 이미지/원천데이터/레트로/(211)IMG_1.jpg	상의	(211)IMG_1.jpg	블라우스	베이지	['페플럼']	['플로럴']	['시폰']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/018-285-4,257-35,865-Hanna_409_07.jpg	원피스	018-285-4,257-35,865-Hanna_409_07.jpg	드레스	화이트	['퍼프', '셔링', '포켓']	['깅엄']	['우븐']	반팔	스위트하트		루즈	
K-Fashion 이미지/원천데이터/레트로/019-286-3,261-39,126-Haemil_194_06.jpg	상의	019-286-3,261-39,126-Haemil_194_06.jpg	니트웨어	와인		['무지']	['니트']	7부소매	터틀넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1-(9)-004-271-3031-5163-TOP_179_11.jpg	상의	1-(9)-004-271-3031-5163-TOP_179_11.jpg	블라우스	화이트		['그래픽']	['우븐']	7부소매	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/1-(9)-005-272-2,351-7,514-FisrtGI_355_02.jpg	상의	1-(9)-005-272-2,351-7,514-FisrtGI_355_02.jpg	블라우스	라벤더	['컷아웃']	['스트라이프']	['린넨', '우븐']	반팔	원숄더		루즈	
K-Fashion 이미지/원천데이터/레트로/1-(9)-005-272-2,351-7,514-FisrtGI_355_02.jpg	하의	1-(9)-005-272-2,351-7,514-FisrtGI_355_02.jpg	팬츠	베이지	['띠', '버클']	['무지']	['우븐', '린넨']				와이드	
K-Fashion 이미지/원천데이터/레트로/1-(9)-008-275-2,526-14,877-FLY_349_09.jpg	하의	1-(9)-008-275-2,526-14,877-FLY_349_09.jpg	스커트	베이지	['슬릿', '단추']	['깅엄']	['우븐']				노멀	
K-Fashion 이미지/원천데이터/레트로/1-(9)-008-275-2,526-14,877-FLY_349_11.jpg	하의	1-(9)-008-275-2,526-14,877-FLY_349_11.jpg	스커트	베이지	['슬릿', '단추']	['깅엄']	['우븐']				노멀	
K-Fashion 이미지/원천데이터/레트로/1-(9)-008-275-2,526-14,877-FLY_367_12.jpg	하의	1-(9)-008-275-2,526-14,877-FLY_367_12.jpg	스커트	블루	['플레어', '셔링']		['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6944.jpg	상의	1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6944.jpg	블라우스	골드		['도트']	['린넨']	민소매	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6944.jpg	하의	1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6944.jpg	스커트	블랙	['플레어']	['무지']	['린넨']				노멀	
K-Fashion 이미지/원천데이터/레트로/1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7046.jpg	상의	1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7046.jpg	블라우스	골드		['도트']	['린넨']	민소매	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7046.jpg	하의	1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7046.jpg	스커트	블랙	['플레어']	['무지']	['린넨']				노멀	
K-Fashion 이미지/원천데이터/레트로/1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7145.jpg	상의	1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7145.jpg	블라우스	골드		['도트']	['린넨']	민소매	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7145.jpg	하의	1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7145.jpg	스커트	블랙	['플레어']	['무지']	['린넨']				노멀	
K-Fashion 이미지/원천데이터/레트로/1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-IMG_4785.jpg	하의	1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-IMG_4785.jpg	스커트	베이지	['지퍼']	['깅엄']	['우븐']				노멀	
K-Fashion 이미지/원천데이터/레트로/1-bl808(4)-유니(대행,S)6.23-3-IMG_6799.jpg	상의	1-bl808(4)-유니(대행,S)6.23-3-IMG_6799.jpg	블라우스	스카이블루		['도트']	['린넨']	반팔	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/1-bl808(4)-유니(대행,S)6.23-3-IMG_6853.jpg	상의	1-bl808(4)-유니(대행,S)6.23-3-IMG_6853.jpg	블라우스	블루		['도트']	['린넨']	반팔	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/10.30-bl528(1)-중국 3.3-9-IMG_1657.jpg	상의	10.30-bl528(1)-중국 3.3-9-IMG_1657.JPG	블라우스	레드	['셔링']	['플로럴']	['시폰']	긴팔	유넥		노멀	
K-Fashion 이미지/원천데이터/레트로/10.30-bl528(1)-중국 3.3-9-IMG_1693.jpg	상의	10.30-bl528(1)-중국 3.3-9-IMG_1693.JPG	블라우스	레드		['플로럴']	['시폰']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/10.30-bl528(1)-중국 3.3-9-IMG_1766.jpg	상의	10.30-bl528(1)-중국 3.3-9-IMG_1766.JPG	블라우스	레드	['셔링']	['플로럴']	['시폰']	긴팔	유넥		노멀	
K-Fashion 이미지/원천데이터/레트로/10.30-bl532(2)-블루샵 3.2_-4-IMG_6540.jpg	상의	10.30-bl532(2)-블루샵 3.2_-4-IMG_6540.JPG	블라우스	라벤더	['러플']	['무지']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/10.30-bl532(2)-블루샵 3.2_-4-IMG_6540.jpg	하의	10.30-bl532(2)-블루샵 3.2_-4-IMG_6540.JPG	스커트	블랙	['플리츠']	['플로럴']	['시폰']				노멀	
